book_id:55555, book_name:Data Structures Using C++, book_author:D. S. Malik
book_id:66666, book_name:Computer Networks, book_author:Peterson Davie
book_id:11111, book_name:Introduction to Algorithms, book_author:Thomas H. Cormen
book_id:33333, book_name:Computer Networks, book_author:Robert Sedgewick
book_id:22222, book_name:Data Structures Using C++, book_author:D. S. Malik
book_id:55550, book_name:Data Structures Using C++, book_author:D. S. Malik
book_id:66606, book_name:Computer Networks, book_author:Peterson Davie
book_id:11011, book_name:Introduction to Algorithms, book_author:Thomas H. Cormen
book_id:30333, book_name:Computer Networks, book_author:Robert Sedgewick
book_id:32222, book_name:Data Structures Using C++, book_author:D. S. Malik
book_id:55555, book_name:Data Structures Using C++, book_author:D. S. Malik
book_id:66666, book_name:Computer Networks, book_author:Peterson Davie
book_id:11111, book_name:Introduction to Algorithms, book_author:Thomas H. Cormen
book_id:33333, book_name:Computer Networks, book_author:Robert Sedgewick
book_id:22222, book_name:Data Structures Using C++, book_author:D. S. Malik
book_id:55550, book_name:Data Structures Using C++, book_author:D. S. Malik
book_id:66606, book_name:Computer Networks, book_author:Peterson Davie
book_id:11011, book_name:Introduction to Algorithms, book_author:Thomas H. Cormen
book_id:30333, book_name:Computer Networks, book_author:Robert Sedgewick
book_id:22222, book_name:Data Structures Using C++, book_author:D. S. Malik
book_id:55555, book_name:Data Structures Using C++, book_author:D. S. Malik
book_id:66666, book_name:Computer Networks, book_author:Peterson Davie
book_id:11111, book_name:Introduction to Algorithms, book_author:Thomas H. Cormen
book_id:33333, book_name:Computer Networks, book_author:Robert Sedgewick
book_id:22222, book_name:Data Structures Using C++, book_author:D. S. Malik
book_id:35550, book_name:Data Structures Using C++, book_author:D. S. Malik
book_id:60606, book_name:Computer Networks, book_author:Peterson Davie
book_id:11011, book_name:Introduction to Algorithms, book_author:Thomas H. Cormen
book_id:30303, book_name:Computer Networks, book_author:Robert Sedgewick
book_id:32220, book_name:Data Structures Using C++, book_author:D. S. Malik
